filename,differences
internet-bill_8_updated.png,"{'Date': ('07/30/2019', '7/30/2019'), 'Bill_Amount': ('515.0', '515'), 'Time': (nan, nan), 'Bill_Category': ('General', 'Communication')}"
fd_bill1_updated.jpg,"{'Bill_Number': (nan, '33894522130'), 'Bill_Amount': ('52.0', '52'), 'Time': (nan, '5:52:50 PM'), 'Bill_Category': ('General', 'Evening Snacks')}"
food-bill_10_updated.png,"{'Bill_Number': ('Phone 503555-0190', '100'), 'Date': ('03/09/18', '3/9/2018'), 'Time': ('01:20 PM', '1:20 PM'), 'Bill_Category': ('Communication', 'Lunch')}"
fuel-bill_10_updated.jpeg,"{'Date': ('06/08/18', '6/8/2018'), 'Bill_Amount': ('0.0', '300'), 'Time': (nan, '19:43:42')}"
train-bill_4_updated.jpg,"{'Bill_Number': ('Error', '86809031'), 'Date': ('Error', '23/0/2006'), 'Bill_Amount': ('Error', '108')}"
fuel-bill_2_updated.jpg,"{'Bill_Number': ('Bi71 NO:Ju1-23138-ORGNL', 'Jul-23138-ORGNL'), 'Time': (nan, '19:43:19')}"
stationary10_updated.jpg,"{'Date': ('05-Mar-2020', '5-Mar-20'), 'Bill_Amount': ('3604.0', '3604'), 'Time': (nan, nan)}"
fd_bill2_updated.png,"{'Date': ('08/25/2017', '8/25/2017'), 'Bill_Amount': ('257.0', '303'), 'Time': (nan, '18:06'), 'Bill_Category': ('General', 'Evening Snacks')}"
internet-bill_4_updated.png,"{'Bill_Number': (nan, 'KL24-25R/892'), 'Date': ('01/15/2025', '1/15/2025'), 'Bill_Amount': ('0.0', '600'), 'Time': (nan, nan)}"
stationary-2_updated.jpg,"{'Bill_Number': ('Note:- PAYABLE AMOUNT To be paid in full in maximum 7 days after receiving the invoice Please inclue Include the Invoice number in your payment notes. Rs.39,750.18', '54448'), 'Date': (nan, '8/3/2021'), 'Time': (nan, nan)}"
fd3_updated.jpg,"{'Bill_Number': ('12', '152461188'), 'Date': ('11/09/2018', '11/9/2018'), 'Bill_Category': ('Food', 'Dinner')}"
internet-bill_9_updated.png,"{'Bill_Number': ('Error', 'A9R23R9995191355'), 'Date': ('Error', '6/12/2022'), 'Bill_Amount': ('Error', '470.82'), 'Bill_Category': ('Error', 'Communication')}"
fuel-bill_5_updated.jpg,"{'Date': ('01/22/2020', '1/22/2020')}"
food-bill_2_updated.png,"{'Bill_Number': ('BNO', '928'), 'Date': ('02/20/22', '7/10/2021'), 'Bill_Amount': ('0', '80'), 'Time': (nan, nan), 'Bill_Category': ('Staff Welfare', 'Food')}"
fuel-bill_4_updated.png,"{'Bill_Number': ('$f34131140', '592480'), 'Bill_Amount': ('0.0', '2338.95'), 'Time': ('Not Provided', '22:18:26')}"
stationary-3_updated.jpg,"{'Bill_Amount': ('78500.0', '78500'), 'Time': (nan, nan)}"
bus1_updated.jpg,"{'Bill_Number': ('NO786135', '786135'), 'Date': ('08/06/1812', '8/6/2018'), 'Bill_Amount': ('13.0', '13'), 'Bill_Category': ('Fuel', 'Travel - Bus')}"
