filename,Bill_Number,Date,Bill_Amount,Time,Bill_Category,processing_time,status
internet-bill_8_updated.png,WE806550116071590503301,07/30/2019,515.0,,Communication,30.05444097518921,success
fd_bill1_updated.jpg,8543,01/31/2015,52.0,05:52 PM,Evening Snacks,24.67510986328125,success
food-bill_10_updated.png,100,03/19/2018,182.8,,Dinner,35.5631468296051,success
fuel-bill_10_updated.jpeg,18779-ORGNL,06/08/18,300.42,07:43 PM,Fuel,28.322799682617188,success
train-bill_4_updated.jpg,JFBAJEEN,06/23/2006,108.0,01:32 PM,Travel - Cab,20.328742265701294,success
fuel-bill_2_updated.jpg,G5001,07/13/2020,951.06,07:43 PM,Fuel,25.19388484954834,success
internet3_updated.png,Error,Error,Error,Error,Error,failed
stationary10_updated.jpg,Error,Error,Error,Error,Error,failed
internet-bill_5_updated.png,Error,Error,Error,Error,Error,failed
fd_bill2_updated.png,3475,08/25/2017,303.0,06:00 PM,Evening Snacks,23.14299464225769,success
internet-bill_4_updated.png,KL24-25R/892,01/15/2025,600.0,,General,28.36535120010376,success
stationary-2_updated.jpg,Error,Error,Error,Error,Error,failed
fd3_updated.jpg,12,09/11/2018,55.05,10:23 PM,Dinner,21.300745248794556,success
train-bill_3_updated.png,Error,Error,Error,Error,Error,failed
internet-bill_9_updated.png,Error,Error,Error,Error,Error,failed
fuel-bill_5_updated.jpg,63621707,01/22/2020,2947.2,01:10 PM,Fuel,25.959493160247803,success
food-bill_2_updated.png,27AMLPB3146J1140,01/20/22,1789.0,,General,15.76143765449524,success
fuel-bill_4_updated.png,592480,07/13/2019,2338.95,10:18 PM,Fuel,29.093813180923462,success
inetrnet_updated.png,Error,Error,Error,Error,Error,failed
stationary-3_updated.jpg,1,12/20/2021,78500.0,,Software License,24.56777334213257,success
bus1_updated.jpg,786135,08/06/2012,13.0,12:42 PM,Printing & Stationery,29.81928324699402,success
fuel-bill_1_updated.png,Error,Error,Error,Error,Error,failed
general7_updated.jpg,F012345,07/01/2013,36289.05,,General,26.470956563949585,success
food-bill_4_updated.jpg,124634,01/27/2012,4500.0,12:18 PM,Lunch,23.452555894851685,success
internet_bill_1_updated.png,Error,Error,Error,Error,Error,failed
general2_updated.jpg,DD-TI-02,07/01/17,22400.0,,General,28.6458957195282,success
food-bill_7_updated.png,9292,11/12/2022,5466.0,09:03 PM,Dinner,22.908586263656616,success
food-bill_8_updated.png,89714,05/31/24,167.0,10:03 AM,Breakfast,20.397072315216064,success
software8_updated.png,Error,Error,Error,Error,Error,failed
fuel-bill_9_updated.png,Error,Error,Error,Error,Error,failed
bus8_updated.jpg,0021783324,07/12,21.0,,General,22.5993549823761,success
fuel-bill_8_updated.jpeg,Error,Error,Error,Error,Error,failed
internet-bill_1_updated.png,KL20241215012222,12/06/2024,588.82,,Communication,30.987633228302002,success
food-bill_6_updated.jpg,AB65,05/22/2017,247.0,12:35:13 PM,Dinner,19.116897344589233,success
fuel-bill_7_updated.jpeg,IXNN04944921,,517.0,,Fuel,21.394073247909546,success
train-bill_1_updated.jpg,Error,Error,Error,Error,Error,failed
fuel11_updated.jpg,940482,03/14/24,110.0,12:25 PM,Fuel,24.03034281730652,success
internet-bill_7_updated.png,Error,Error,Error,Error,Error,failed
stationary5_updated.jpg,ART48,xx-XX-xXXX,42.48,,Printing & Stationery,21.903016805648804,success
general4_updated.jpg,Error,Error,Error,Error,Error,failed
food-bill10_updated.jpg,6,07/01/17,419.0,,Dinner,25.090611457824707,success
general6_updated.jpg,1,04/27/2020,97160.0,,Software License,20.762450218200684,success
stationary9_updated.jpg,Error,Error,Error,Error,Error,failed
fuel-bill-6_updated.png,A127016,01/24,10134.0,02:54 PM,Fuel,28.406631469726562,success
internet-bill_6_updated.png,Error,Error,Error,Error,Error,failed
bus2_updated.jpg,074157,08/09/15,339.0,11:18:31 AM,Breakfast,19.528472185134888,success
food-bill_9_updated.png,G0027238,07/01/2018,1882.0,10:01 PM,Dinner,24.474268436431885,success
general3_updated.jpg,NCN1,07/15/2017,56000.0,,Software License,24.658918142318726,success
food-bill_5_updated.png,5365,10/18/2018,840.0,,Dinner,20.179592609405518,success
bus10_updated.jpg,11804044,04/01/2018,4.0,,Staff Welfare,17.90893054008484,success
bus3_updated.png,176137,07/03/18,730.0,,Travel - Auto,18.901175498962402,success
fuel-bill_3_updated.jpeg,RGNL885896,05/03/2024,110.0,,Fuel,22.803850889205933,success
general5_updated.jpg,256X5,12/20/2015,1293.75,,General,19.761920928955078,success
